월별Data,weather,salses,foreginer,changtag,kyungtag,ducktag,kyung,chang,duck,changkyung,total
2010년1월,-4.5,88.974,569453,,,,182876,45097,54909,17904,300786
2010년 2월,1.4,89.154,638911,,,,231299,50449,62225,20125,364098
2010년3월,4.3,89.515,769894,,,,211510,62885,52347,17599,344341
2010년4월,9.5,89.875,730265,,,,411312,96201,95097,53766,656376
2010년5월,17.2,89.875,729450,,,,376718,148074,116324,88732,729848
2010년6월,23.4,89.695,718440,,,,226748,97901,74426,38858,437933
2010년7월,25.8,89.965,754672,,,,247937,86131,68044,35979,438091
2010년8월,26.5,90.416,833693,,,,457097,102153,94486,36937,690673
2010년9월,21.8,91.227,764693,,,,416173,106508,108218,41961,672860
2010년10월,14.5,91.227,872550,,,,493521,187310,155101,83891,919823
2010년11월,6.5,90.777,738271,,,,361957,129865,141566,55771,689159
2010년12월,-1.3,91.047,677366,,,,202536,59823,75573,21830,359762
2011년1월,-7.2,92.039,586152,,,,141183,43677,92135,17644,294639
2011년2월,1.2,92.58,667089,,,,230814,73330,132920,35708,472772
2011년3월,3.6,92.94,781286,,,,228276,78705,64869,29856,401706
2011년4월,10.7,93.03,754458,,,,349368,129150,85548,70101,634167
2011년5월,17.9,93.211,743464,,,,438567,151833,103100,78017,771517
2011년6월,22,93.391,795850,,,,252185,108262,81489,40319,482255
2011년7월,24.6,93.842,881809,,,,275074,91527,81544,31333,479478
2011년8월,25.8,94.473,977296,,,,386264,134374,116552,48915,686105
2011년9월,21.8,94.382,906813,,,,437683,143467,128343,58076,767569
2011년10월,14.2,94.292,988320,,,,518742,222484,137870,97869,976965
2011년11월,10.7,94.292,869876,,,,304318,160836,107467,61697,634318
2011년12월,-0.9,94.563,842383,,,,237330,75991,52140,21267,386728
2012년1월,-2.8,95.086,753793,,,,223815,63970,54074,19753,361612
2012년2월,-2,95.482,810967,,,,248905,71090,48464,22898,391357
2012년3월,5.1,95.608,916357,,,,333028,100891,51919,34608,520446
2012년4월,12.3,95.644,967593,,,,470534,163656,83249,80489,797928
2012년5월,19.7,95.744,942602,,,,599039,199432,106767,84384,989622
2012년6월,24.1,95.644,946333,,,,337485,133129,84226,50627,605467
2012년7월,25.4,95.59,1009225,,,,331270,99199,64627,29591,524687
2012년8월,27.1,96.158,1103311,,,,371284,105672,71542,30447,578945
2012년9월,21,96.807,986961,,,,403369,129435,94058,44843,671705
2012년10월,15.3,96.564,1025705,,,,659265,201617,158452,129914,1149248
2012년11월,5.5,96.185,842189,,,,305795,135002,111032,56578,608407
2012년12월,-4.1,96.384,834992,,,,238382,55875,56036,17173,367466
2013년1월,-3.4,96.907,753655,,,,187908,52743,54535,18882,314068
2013년2월,-1.2,97.177,815037,,,,233250,61764,58331,22340,375685
2013년3월,5.1,97.087,1010809,,,,299705,98042,89820,39489,527056
2013년4월,10,97.069,972164,,,,406125,142315,108914,65712,723066
2013년5월,18.2,97.069,919355,,,,604858,166056,113536,121739,1006189
2013년6월,24.4,96.925,1059082,,,,323084,120678,73660,52770,570192
2013년7월,25.5,97.114,1205152,,,,365438,80118,62485,26666,534707
2013년8월,27.7,97.465,1358909,,,,461357,108611,78063,36109,684140
2013년9월,21.8,97.691,1156913,,,,464850,137256,111427,59141,772674
2013년10월,15.8,97.438,1087974,,,,480814,195931,137071,108349,922165
2013년11월,6.2,97.429,907901,,,,313781,147652,179792,64176,705401
2013년12월,-0.2,97.574,928599,,,,246969,64103,112583,22021,445676
2014년1월,-0.7,98.114,842671,0,0,,266423,68316,120463,24484,479686
2014년2월,1.9,98.313,886026,0,0,,258060,65471,103269,38213,465013
2014년3월,7.9,98.538,1132155,0,0,,350759,95623,158991,47317,652690
2014년4월,14,98.727,1251374,1,0,,522782,191092,104138,93980,911992
2014년5월,18.9,98.881,1239606,4,0,,619567,188086,117547,105029,1030229
2014년6월,23.1,98.782,1273627,0,0,,425073,112124,75448,42428,655073
2014년7월,26.1,98.989,1354753,0,0,,493531,100946,74330,34734,703541
2014년8월,25.2,99.232,1454078,0,1,,636149,134482,97778,47316,915725
2014년9월,22.1,99.133,1245777,8,1,,553239,158089,112668,88345,912341
2014년10월,15.6,98.845,1317482,6,0,,676522,241381,167611,120735,1206249
2014년11월,9,98.727,1117398,13,1,,453156,183136,142650,79565,858507
2014년12월,-2.9,98.845,1086569,2,2,,320447,71489,58995,19992,470923
2015년1월,-0.9,99.49,917054,0,2,0,304681,72843,63148,25582,466254
2015년2월,1,99.56,1050706,1,4,0,418434,85184,74525,53471,631614
2015년3월,6.3,99.47,1238144,0,22,0,386114,98043,70543,37543,592243
2015년4월,13.3,99.63,1384567,16,9,0,616886,185723,120283,88172,1011064
2015년5월,18.9,99.82,1334212,5,7,0,671148,228772,151007,113181,1164108
2015년6월,23.6,99.83,750925,1,3,1,186846,59446,43291,21259,310842
2015년7월,25.8,100.26,629737,1,7,0,219047,133999,103306,68842,525194
2015년8월,26.3,100.51,1069314,2,0,0,391333,127397,125190,93581,737501
2015년9월,22.4,100.36,1206764,0,3,0,533096,136748,127942,58115,855901
2015년10월,15.5,100.33,1383704,13,21,0,606848,239879,166512,117011,1130250
2015년11월,8.9,100.18,1150074,8,10,0,407760,170883,137431,64324,780398
2015년12월,1.6,100.55,1116450,1,8,0,319340,93080,83946,28955,525321
2016년1월,-3.2,100.63,1077431,0,5,1,337843,74092,66557,23739,502231
2016년2월,0.2,101.03,1126250,0,23,0,367261,90041,72833,32949,563084
2016년3월,7,100.71,1389399,16,39,0,390197,120686,85152,107404,703439
2016년4월,14.1,100.88,1469674,19,92,0,662745,238626,147000,104319,1152690
2016년5월,19.6,100.92,1492680,19,73,0,681953,234193,185926,158847,1260919
2016년6월,23.6,100.87,1554413,8,43,0,539536,139560,149699,48634,877429
2016년7월,26.2,100.76,1703495,11,46,0,573582,98327,133680,58775,864364
2016년8월,28,101.15,1664303,18,36,0,508450,100458,130380,60274,799562
2016년9월,23.1,101.72,1523928,22,113,0,572277,183779,198560,83606,1038222
2016년10월,16.1,101.86,1587797,25,144,0,749783,249292,180420,126819,1306314
2016년11월,6.8,101.73,1309055,22,65,0,343064,199341,126284,65927,734616
2016년12월,1.2,101.89,1343398,4,16,0,293427,91641,73296,23844,482208
2017년1월,-1.8,102.77,1220695,7,39,,316862,94968,88794,27584,528208
2017년2월,-0.2,103,1252080,0,28,,294471,77581,90852,24188,487092
2017년3월,6.3,103.07,1233640,0,76,,265204,110247,99394,41399,516244
2017년4월,13.9,102.98,1075899,0,122,,476448,217038,157206,129866,980558
2017년5월,19.5,103.12,977889,0,108,,438351,180673,169248,99615,887887
2017년6월,23.3,102.97,991802,47,63,,256415,107520,108058,56599,528592
2017년7월,26.9,103.28,1008671,21,50,,253406,81340,88089,53602,476437
2017년8월,25.9,103.89,1103506,15,73,,297838,94958,99236,45509,537541
2017년9월,22.1,103.78,1078653,7,96,,376280,135988,157198,48314,717780
2017년10월,16.4,103.52,1165638,27,174,,1002216,416985,541405,207742,2168348
2017년11월,5.6,102.86,1093217,37,47,,290911,200990,151237,73148,716286
2017년12월,-1.9,103.16,1134068,13,34,,236590,84746,99087,28406,448829
2018년1월,-4,103.57,956036,12,34,0,164895,60435,84613,20296,330239
2018년2월,-1.6,104.32,1045415,11,45,0,278529,98303,100201,49783,526816
2018년3월,8.1,104.31,1366100,70,54,0,297742,115178,129714,48122,590756
2018년4월,13,104.55,1331709,120,94,1,438924,201295,144327,93613,878159
2018년5월,18.2,104.56,1238021,124,115,0,476485,191692,190801,104286,963264
2018년6월,23.1,104.19,1282093,88,107,1,369506,112765,124097,55781,662149
2018년7월,27.8,104.15,1254833,32,59,0,281104,71648,85648,27453,465853
2018년8월,28.8,105.04,1391727,24,41,0,273252,75085,92749,27243,468329
2018년9월,21.5,105.7,1278604,313,153,0,642642,223127,210607,135980,1212356
2018년10월,13.1,105.33,1527832,357,188,2,541941,243628,218180,102411,1106160
2018년11월,7.8,104.77,1350390,310,55,0,386239,197441,179367,78129,841176
2018년12월,-0.6,104.49,1324119,158,31,0,296312,74095,156030,24349,550786
2019년1월,-0.9,104.54,1104803,123,34,0,223487,63728,130532,35781,453528
2019년2월,1,105.07,1201802,172,62,1,373630,107092,147380,73616,701718
2019년3월,7.1,104.86,1535641,172,55,3,362326,117803,173993,60751,714873
2019년4월,12.1,105.26,1635066,196,125,0,550978,201595,242328,113637,1108538
2019년5월,19.4,105.31,1485684,111,105,1,574014,195085,278340,101992,1149431
2019년6월,22.5,105.17,1476218,58,92,1,439895,123000,197150,58749,818794
2019년7월,25.9,104.91,1448067,34,30,1,361212,84688,129439,36718,612057
2019년8월,27.2,105.21,1586299,143,47,2,444979,123025,184261,67483,819748
2019년9월,22.6,105.57,1459664,258,146,27,669361,211817,210713,99032,1190923
2019년10월,16.4,105.8,1656195,49,151,209,582843,258410,321688,103580,1266521
2019년11월,7.6,105.24,1456429,192,70,324,424375,214458,259379,93901,992113
2019년12월,1.4,105.44,1456888,51,52,103,339646,84357,138393,29084,591480
2020년1월,,,,112,55,121,387984,99135,139059,46120,672298
2020년2월,,,,119,22,52,101969,30808,58728,15061,206566
2020년3월,,,,125,95,95,33461,30575,66943,27323,158302
2020년4월,,,,313,143,93,48933,49349,104852,41460,244594
2020년5월,,,,163,98,83,54774,48940,104289,38111,246114
2020년6월,,,,84,57,50,,,,,0
2020년7월,,,,177,35,46,,,,,0
2020년8월,,,,0,0,5,,,,,0
2020년9월,,,,0,0,0,,,,,0
2020년10월,,,,0,0,0,,,,,0
2020년11월,,,,1,0,0,,,,,0
2020년12월,,,,0,0,0,,,,,0
